22/11/2024 15:18:48 Epoch 0/100 summary: loss_train=1.08440, acc_train=39.02%, loss_val=0.00, acc_val=38.67% (best: 38.67% @ epoch None)
22/11/2024 15:25:50 Epoch 1/100 summary: loss_train=1.05145, acc_train=44.16%, loss_val=0.00, acc_val=51.33% (best: 51.33% @ epoch None)
22/11/2024 15:32:43 Epoch 2/100 summary: loss_train=1.04312, acc_train=45.65%, loss_val=0.00, acc_val=50.00% (best: 51.33% @ epoch None)
22/11/2024 15:39:36 Epoch 3/100 summary: loss_train=1.02525, acc_train=47.69%, loss_val=0.00, acc_val=50.67% (best: 51.33% @ epoch None)
22/11/2024 15:46:30 Epoch 4/100 summary: loss_train=1.02490, acc_train=48.91%, loss_val=0.00, acc_val=51.67% (best: 51.67% @ epoch None)
22/11/2024 15:53:25 Epoch 5/100 summary: loss_train=1.03011, acc_train=48.15%, loss_val=0.00, acc_val=48.67% (best: 51.67% @ epoch None)
22/11/2024 16:00:19 Epoch 6/100 summary: loss_train=1.01713, acc_train=47.89%, loss_val=0.00, acc_val=46.33% (best: 51.67% @ epoch None)
22/11/2024 16:07:14 Epoch 7/100 summary: loss_train=1.01784, acc_train=48.78%, loss_val=0.00, acc_val=49.00% (best: 51.67% @ epoch None)
22/11/2024 16:14:10 Epoch 8/100 summary: loss_train=1.01809, acc_train=49.27%, loss_val=0.00, acc_val=48.33% (best: 51.67% @ epoch None)
22/11/2024 16:21:04 Epoch 9/100 summary: loss_train=1.00448, acc_train=50.99%, loss_val=0.00, acc_val=53.00% (best: 53.00% @ epoch None)
22/11/2024 16:27:59 Epoch 10/100 summary: loss_train=1.01566, acc_train=50.66%, loss_val=0.00, acc_val=55.33% (best: 55.33% @ epoch None)
22/11/2024 16:34:54 Epoch 11/100 summary: loss_train=1.01203, acc_train=50.00%, loss_val=0.00, acc_val=49.67% (best: 55.33% @ epoch None)
22/11/2024 16:41:48 Epoch 12/100 summary: loss_train=1.00701, acc_train=50.56%, loss_val=0.00, acc_val=49.00% (best: 55.33% @ epoch None)
22/11/2024 16:48:43 Epoch 13/100 summary: loss_train=0.99653, acc_train=52.47%, loss_val=0.00, acc_val=50.67% (best: 55.33% @ epoch None)
22/11/2024 16:55:38 Epoch 14/100 summary: loss_train=0.99277, acc_train=51.88%, loss_val=0.00, acc_val=59.33% (best: 59.33% @ epoch None)
22/11/2024 17:02:32 Epoch 15/100 summary: loss_train=0.99527, acc_train=51.45%, loss_val=0.00, acc_val=54.00% (best: 59.33% @ epoch None)
22/11/2024 17:09:28 Epoch 16/100 summary: loss_train=0.98295, acc_train=54.06%, loss_val=0.00, acc_val=56.00% (best: 59.33% @ epoch None)
22/11/2024 17:16:24 Epoch 17/100 summary: loss_train=0.97814, acc_train=53.43%, loss_val=0.00, acc_val=61.33% (best: 61.33% @ epoch None)
22/11/2024 17:23:18 Epoch 18/100 summary: loss_train=0.97403, acc_train=54.62%, loss_val=0.00, acc_val=54.67% (best: 61.33% @ epoch None)
22/11/2024 17:30:11 Epoch 19/100 summary: loss_train=0.96948, acc_train=54.09%, loss_val=0.00, acc_val=58.33% (best: 61.33% @ epoch None)
22/11/2024 17:37:04 Epoch 20/100 summary: loss_train=0.95647, acc_train=55.47%, loss_val=0.00, acc_val=57.67% (best: 61.33% @ epoch None)
22/11/2024 17:43:56 Epoch 21/100 summary: loss_train=0.95143, acc_train=56.99%, loss_val=0.00, acc_val=53.00% (best: 61.33% @ epoch None)
22/11/2024 17:50:48 Epoch 22/100 summary: loss_train=0.95654, acc_train=55.24%, loss_val=0.00, acc_val=59.33% (best: 61.33% @ epoch None)
22/11/2024 17:57:41 Epoch 23/100 summary: loss_train=0.95403, acc_train=56.17%, loss_val=0.00, acc_val=50.67% (best: 61.33% @ epoch None)
22/11/2024 18:04:36 Epoch 24/100 summary: loss_train=0.94158, acc_train=58.15%, loss_val=0.00, acc_val=66.00% (best: 66.00% @ epoch None)
22/11/2024 18:11:29 Epoch 25/100 summary: loss_train=0.93872, acc_train=56.20%, loss_val=0.00, acc_val=63.00% (best: 66.00% @ epoch None)
22/11/2024 18:18:26 Epoch 26/100 summary: loss_train=0.93649, acc_train=56.53%, loss_val=0.00, acc_val=50.00% (best: 66.00% @ epoch None)
22/11/2024 18:25:21 Epoch 27/100 summary: loss_train=0.94347, acc_train=56.73%, loss_val=0.00, acc_val=52.00% (best: 66.00% @ epoch None)
22/11/2024 18:32:15 Epoch 28/100 summary: loss_train=0.93860, acc_train=57.49%, loss_val=0.00, acc_val=61.33% (best: 66.00% @ epoch None)
22/11/2024 18:39:07 Epoch 29/100 summary: loss_train=0.93064, acc_train=57.55%, loss_val=0.00, acc_val=64.00% (best: 66.00% @ epoch None)
22/11/2024 18:46:01 Epoch 30/100 summary: loss_train=0.84587, acc_train=64.15%, loss_val=0.00, acc_val=67.33% (best: 67.33% @ epoch None)
22/11/2024 18:52:54 Epoch 31/100 summary: loss_train=0.81297, acc_train=66.89%, loss_val=0.00, acc_val=65.00% (best: 67.33% @ epoch None)
22/11/2024 18:59:47 Epoch 32/100 summary: loss_train=0.81528, acc_train=66.46%, loss_val=0.00, acc_val=67.00% (best: 67.33% @ epoch None)
22/11/2024 19:06:43 Epoch 33/100 summary: loss_train=0.80814, acc_train=68.01%, loss_val=0.00, acc_val=66.00% (best: 67.33% @ epoch None)
22/11/2024 19:13:37 Epoch 34/100 summary: loss_train=0.80952, acc_train=67.48%, loss_val=0.00, acc_val=70.33% (best: 70.33% @ epoch None)
22/11/2024 19:20:30 Epoch 35/100 summary: loss_train=0.80598, acc_train=67.58%, loss_val=0.00, acc_val=66.67% (best: 70.33% @ epoch None)
22/11/2024 19:27:24 Epoch 36/100 summary: loss_train=0.79158, acc_train=68.34%, loss_val=0.00, acc_val=66.00% (best: 70.33% @ epoch None)
22/11/2024 19:34:16 Epoch 37/100 summary: loss_train=0.78236, acc_train=68.27%, loss_val=0.00, acc_val=69.00% (best: 70.33% @ epoch None)
22/11/2024 19:41:07 Epoch 38/100 summary: loss_train=0.79132, acc_train=68.83%, loss_val=0.00, acc_val=63.67% (best: 70.33% @ epoch None)
22/11/2024 19:48:00 Epoch 39/100 summary: loss_train=0.78202, acc_train=69.82%, loss_val=0.00, acc_val=67.00% (best: 70.33% @ epoch None)
22/11/2024 19:54:53 Epoch 40/100 summary: loss_train=0.78303, acc_train=68.80%, loss_val=0.00, acc_val=64.67% (best: 70.33% @ epoch None)
22/11/2024 20:01:48 Epoch 41/100 summary: loss_train=0.78658, acc_train=69.46%, loss_val=0.00, acc_val=67.33% (best: 70.33% @ epoch None)
22/11/2024 20:08:43 Epoch 42/100 summary: loss_train=0.76707, acc_train=70.51%, loss_val=0.00, acc_val=67.67% (best: 70.33% @ epoch None)
22/11/2024 20:15:38 Epoch 43/100 summary: loss_train=0.77245, acc_train=70.12%, loss_val=0.00, acc_val=71.00% (best: 71.00% @ epoch None)
22/11/2024 20:22:33 Epoch 44/100 summary: loss_train=0.77807, acc_train=69.13%, loss_val=0.00, acc_val=64.00% (best: 71.00% @ epoch None)
22/11/2024 20:29:29 Epoch 45/100 summary: loss_train=0.77248, acc_train=69.76%, loss_val=0.00, acc_val=68.00% (best: 71.00% @ epoch None)
22/11/2024 20:36:45 Epoch 46/100 summary: loss_train=0.77634, acc_train=69.23%, loss_val=0.00, acc_val=68.33% (best: 71.00% @ epoch None)
22/11/2024 20:43:45 Epoch 47/100 summary: loss_train=0.77254, acc_train=69.62%, loss_val=0.00, acc_val=66.67% (best: 71.00% @ epoch None)
22/11/2024 20:50:42 Epoch 48/100 summary: loss_train=0.76217, acc_train=70.15%, loss_val=0.00, acc_val=70.33% (best: 71.00% @ epoch None)
22/11/2024 20:57:38 Epoch 49/100 summary: loss_train=0.76086, acc_train=70.78%, loss_val=0.00, acc_val=71.00% (best: 71.00% @ epoch None)
22/11/2024 21:04:34 Epoch 50/100 summary: loss_train=0.76124, acc_train=70.35%, loss_val=0.00, acc_val=69.67% (best: 71.00% @ epoch None)
22/11/2024 21:11:35 Epoch 51/100 summary: loss_train=0.76568, acc_train=70.42%, loss_val=0.00, acc_val=69.00% (best: 71.00% @ epoch None)
22/11/2024 21:18:33 Epoch 52/100 summary: loss_train=0.75829, acc_train=71.01%, loss_val=0.00, acc_val=72.33% (best: 72.33% @ epoch None)
22/11/2024 21:25:42 Epoch 53/100 summary: loss_train=0.74729, acc_train=71.21%, loss_val=0.00, acc_val=71.67% (best: 72.33% @ epoch None)
22/11/2024 21:32:41 Epoch 54/100 summary: loss_train=0.75194, acc_train=71.34%, loss_val=0.00, acc_val=69.67% (best: 72.33% @ epoch None)
22/11/2024 21:39:43 Epoch 55/100 summary: loss_train=0.77033, acc_train=69.16%, loss_val=0.00, acc_val=70.67% (best: 72.33% @ epoch None)
22/11/2024 21:46:42 Epoch 56/100 summary: loss_train=0.74605, acc_train=70.88%, loss_val=0.00, acc_val=70.67% (best: 72.33% @ epoch None)
22/11/2024 21:53:42 Epoch 57/100 summary: loss_train=0.73495, acc_train=72.03%, loss_val=0.00, acc_val=71.33% (best: 72.33% @ epoch None)
22/11/2024 22:00:39 Epoch 58/100 summary: loss_train=0.75507, acc_train=70.15%, loss_val=0.00, acc_val=71.00% (best: 72.33% @ epoch None)
22/11/2024 22:07:36 Epoch 59/100 summary: loss_train=0.73252, acc_train=72.96%, loss_val=0.00, acc_val=71.00% (best: 72.33% @ epoch None)
