26/11/2024 01:37:00 Epoch 0/100 summary: loss_train=1.07923, acc_train=42.03%, loss_val=0.00, acc_val=43.67% (best: 43.67% @ epoch None)
26/11/2024 01:38:24 Epoch 1/100 summary: loss_train=1.06621, acc_train=44.70%, loss_val=0.00, acc_val=41.00% (best: 43.67% @ epoch None)
26/11/2024 01:39:48 Epoch 2/100 summary: loss_train=1.06010, acc_train=43.87%, loss_val=0.00, acc_val=42.33% (best: 43.67% @ epoch None)
26/11/2024 01:41:11 Epoch 3/100 summary: loss_train=1.04615, acc_train=46.37%, loss_val=0.00, acc_val=43.33% (best: 43.67% @ epoch None)
26/11/2024 01:42:34 Epoch 4/100 summary: loss_train=1.03996, acc_train=48.17%, loss_val=0.00, acc_val=48.67% (best: 48.67% @ epoch None)
26/11/2024 01:43:57 Epoch 5/100 summary: loss_train=1.04072, acc_train=46.90%, loss_val=0.00, acc_val=44.67% (best: 48.67% @ epoch None)
26/11/2024 01:45:19 Epoch 6/100 summary: loss_train=1.02215, acc_train=49.63%, loss_val=0.00, acc_val=44.33% (best: 48.67% @ epoch None)
26/11/2024 01:46:42 Epoch 7/100 summary: loss_train=1.01006, acc_train=50.27%, loss_val=0.00, acc_val=47.33% (best: 48.67% @ epoch None)
26/11/2024 01:48:06 Epoch 8/100 summary: loss_train=0.99342, acc_train=51.97%, loss_val=0.00, acc_val=48.67% (best: 48.67% @ epoch None)
26/11/2024 01:49:29 Epoch 9/100 summary: loss_train=0.98117, acc_train=52.97%, loss_val=0.00, acc_val=56.33% (best: 56.33% @ epoch None)
26/11/2024 01:50:52 Epoch 10/100 summary: loss_train=0.96754, acc_train=54.43%, loss_val=0.00, acc_val=48.67% (best: 56.33% @ epoch None)
26/11/2024 01:52:14 Epoch 11/100 summary: loss_train=0.95632, acc_train=56.07%, loss_val=0.00, acc_val=52.67% (best: 56.33% @ epoch None)
26/11/2024 01:53:38 Epoch 12/100 summary: loss_train=0.98322, acc_train=54.30%, loss_val=0.00, acc_val=56.00% (best: 56.33% @ epoch None)
26/11/2024 01:55:02 Epoch 13/100 summary: loss_train=0.96031, acc_train=55.83%, loss_val=0.00, acc_val=50.00% (best: 56.33% @ epoch None)
26/11/2024 01:56:25 Epoch 14/100 summary: loss_train=0.96791, acc_train=55.43%, loss_val=0.00, acc_val=58.33% (best: 58.33% @ epoch None)
26/11/2024 01:57:49 Epoch 15/100 summary: loss_train=0.95392, acc_train=57.60%, loss_val=0.00, acc_val=51.33% (best: 58.33% @ epoch None)
26/11/2024 01:59:15 Epoch 16/100 summary: loss_train=0.95082, acc_train=55.27%, loss_val=0.00, acc_val=53.00% (best: 58.33% @ epoch None)
26/11/2024 02:00:39 Epoch 17/100 summary: loss_train=0.94577, acc_train=57.47%, loss_val=0.00, acc_val=50.00% (best: 58.33% @ epoch None)
26/11/2024 02:02:05 Epoch 18/100 summary: loss_train=0.96856, acc_train=56.03%, loss_val=0.00, acc_val=44.33% (best: 58.33% @ epoch None)
26/11/2024 02:03:29 Epoch 19/100 summary: loss_train=0.95146, acc_train=57.33%, loss_val=0.00, acc_val=59.00% (best: 59.00% @ epoch None)
26/11/2024 02:04:53 Epoch 20/100 summary: loss_train=0.93521, acc_train=57.83%, loss_val=0.00, acc_val=59.33% (best: 59.33% @ epoch None)
26/11/2024 02:06:17 Epoch 21/100 summary: loss_train=0.94361, acc_train=57.63%, loss_val=0.00, acc_val=52.00% (best: 59.33% @ epoch None)
26/11/2024 02:07:41 Epoch 22/100 summary: loss_train=0.94440, acc_train=56.77%, loss_val=0.00, acc_val=63.00% (best: 63.00% @ epoch None)
26/11/2024 02:09:04 Epoch 23/100 summary: loss_train=0.92530, acc_train=58.83%, loss_val=0.00, acc_val=60.33% (best: 63.00% @ epoch None)
26/11/2024 02:10:27 Epoch 24/100 summary: loss_train=0.93251, acc_train=59.17%, loss_val=0.00, acc_val=62.00% (best: 63.00% @ epoch None)
26/11/2024 02:11:49 Epoch 25/100 summary: loss_train=0.92346, acc_train=59.33%, loss_val=0.00, acc_val=59.00% (best: 63.00% @ epoch None)
26/11/2024 02:13:12 Epoch 26/100 summary: loss_train=0.91120, acc_train=60.93%, loss_val=0.00, acc_val=63.00% (best: 63.00% @ epoch None)
26/11/2024 02:14:35 Epoch 27/100 summary: loss_train=0.91293, acc_train=59.77%, loss_val=0.00, acc_val=64.67% (best: 64.67% @ epoch None)
26/11/2024 02:15:57 Epoch 28/100 summary: loss_train=0.91373, acc_train=61.70%, loss_val=0.00, acc_val=65.33% (best: 65.33% @ epoch None)
26/11/2024 02:17:19 Epoch 29/100 summary: loss_train=0.92138, acc_train=59.97%, loss_val=0.00, acc_val=64.67% (best: 65.33% @ epoch None)
26/11/2024 02:18:41 Epoch 30/100 summary: loss_train=0.86991, acc_train=64.87%, loss_val=0.00, acc_val=66.67% (best: 66.67% @ epoch None)
26/11/2024 02:20:04 Epoch 31/100 summary: loss_train=0.86338, acc_train=65.70%, loss_val=0.00, acc_val=66.67% (best: 66.67% @ epoch None)   
26/11/2024 02:21:30 Epoch 32/100 summary: loss_train=0.84485, acc_train=66.57%, loss_val=0.00, acc_val=67.67% (best: 67.67% @ epoch None)
26/11/2024 02:22:58 Epoch 33/100 summary: loss_train=0.84564, acc_train=65.17%, loss_val=0.00, acc_val=65.33% (best: 67.67% @ epoch None)
26/11/2024 02:24:25 Epoch 34/100 summary: loss_train=0.84510, acc_train=66.17%, loss_val=0.00, acc_val=68.33% (best: 68.33% @ epoch None)
26/11/2024 02:25:52 Epoch 35/100 summary: loss_train=0.83257, acc_train=67.47%, loss_val=0.00, acc_val=68.33% (best: 68.33% @ epoch None)
26/11/2024 02:27:19 Epoch 36/100 summary: loss_train=0.83712, acc_train=66.57%, loss_val=0.00, acc_val=66.33% (best: 68.33% @ epoch None)
26/11/2024 02:28:45 Epoch 37/100 summary: loss_train=0.83084, acc_train=68.23%, loss_val=0.00, acc_val=68.00% (best: 68.33% @ epoch None)
26/11/2024 02:30:13 Epoch 38/100 summary: loss_train=0.82347, acc_train=66.90%, loss_val=0.00, acc_val=62.00% (best: 68.33% @ epoch None)
26/11/2024 02:31:41 Epoch 39/100 summary: loss_train=0.82665, acc_train=67.33%, loss_val=0.00, acc_val=68.00% (best: 68.33% @ epoch None)
26/11/2024 02:33:09 Epoch 40/100 summary: loss_train=0.83135, acc_train=67.13%, loss_val=0.00, acc_val=69.00% (best: 69.00% @ epoch None)
26/11/2024 02:34:37 Epoch 41/100 summary: loss_train=0.82434, acc_train=67.47%, loss_val=0.00, acc_val=67.67% (best: 69.00% @ epoch None)
26/11/2024 02:36:05 Epoch 42/100 summary: loss_train=0.83551, acc_train=66.07%, loss_val=0.00, acc_val=68.00% (best: 69.00% @ epoch None)
26/11/2024 02:37:34 Epoch 43/100 summary: loss_train=0.82473, acc_train=67.43%, loss_val=0.00, acc_val=68.00% (best: 69.00% @ epoch None)
26/11/2024 02:39:01 Epoch 44/100 summary: loss_train=0.82872, acc_train=67.30%, loss_val=0.00, acc_val=68.33% (best: 69.00% @ epoch None)
26/11/2024 02:40:28 Epoch 45/100 summary: loss_train=0.82786, acc_train=66.50%, loss_val=0.00, acc_val=68.67% (best: 69.00% @ epoch None)
26/11/2024 02:41:56 Epoch 46/100 summary: loss_train=0.81972, acc_train=68.70%, loss_val=0.00, acc_val=67.67% (best: 69.00% @ epoch None)
26/11/2024 02:43:24 Epoch 47/100 summary: loss_train=0.82595, acc_train=67.23%, loss_val=0.00, acc_val=69.33% (best: 69.33% @ epoch None)
26/11/2024 02:44:52 Epoch 48/100 summary: loss_train=0.82239, acc_train=67.70%, loss_val=0.00, acc_val=67.67% (best: 69.33% @ epoch None)
26/11/2024 02:46:19 Epoch 49/100 summary: loss_train=0.81102, acc_train=68.60%, loss_val=0.00, acc_val=70.00% (best: 70.00% @ epoch None)
26/11/2024 02:47:47 Epoch 50/100 summary: loss_train=0.80364, acc_train=68.37%, loss_val=0.00, acc_val=68.00% (best: 70.00% @ epoch None)
26/11/2024 02:49:14 Epoch 51/100 summary: loss_train=0.80860, acc_train=68.03%, loss_val=0.00, acc_val=69.33% (best: 70.00% @ epoch None)
26/11/2024 02:50:42 Epoch 52/100 summary: loss_train=0.81749, acc_train=67.63%, loss_val=0.00, acc_val=71.00% (best: 71.00% @ epoch None)
26/11/2024 02:52:09 Epoch 53/100 summary: loss_train=0.81048, acc_train=68.77%, loss_val=0.00, acc_val=68.67% (best: 71.00% @ epoch None)
26/11/2024 02:53:38 Epoch 54/100 summary: loss_train=0.80727, acc_train=69.30%, loss_val=0.00, acc_val=70.33% (best: 71.00% @ epoch None)
26/11/2024 02:55:06 Epoch 55/100 summary: loss_train=0.80154, acc_train=69.23%, loss_val=0.00, acc_val=67.00% (best: 71.00% @ epoch None)
26/11/2024 02:56:33 Epoch 56/100 summary: loss_train=0.79938, acc_train=69.57%, loss_val=0.00, acc_val=70.67% (best: 71.00% @ epoch None)
26/11/2024 02:58:00 Epoch 57/100 summary: loss_train=0.79641, acc_train=69.37%, loss_val=0.00, acc_val=70.67% (best: 71.00% @ epoch None)
26/11/2024 02:59:27 Epoch 58/100 summary: loss_train=0.79258, acc_train=69.10%, loss_val=0.00, acc_val=66.00% (best: 71.00% @ epoch None)
